DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/4,12,9,14.31
2015/1/4,12,10,14.33
2015/1/4,12,11,14.31
2015/1/4,12,12,14.33
2015/1/4,13,1,14.36
2015/1/4,13,2,14.38
2015/1/4,13,3,14.39
2015/1/4,13,4,18.16
2015/1/4,13,5,14.38
2015/1/4,13,6,14.38
2015/1/4,13,7,14.37
2015/1/4,13,8,14.36
2015/1/4,13,9,14.36
2015/1/4,13,10,14.31
2015/1/4,13,11,14.31
2015/1/4,13,12,14.31
2015/1/4,14,1,14.37
2015/1/4,14,2,14.37
2015/1/4,14,3,14.37
2015/1/4,14,4,14.36
2015/1/4,14,5,14.37
2015/1/4,14,6,14.38
2015/1/4,14,7,14.39
2015/1/4,14,8,14.39
2015/1/4,14,9,18.16
2015/1/4,14,10,15.88
2015/1/4,14,11,18.82
2015/1/4,14,12,18.83
2015/1/4,15,1,18.86
2015/1/4,15,2,19.7
2015/1/4,15,3,19.7
2015/1/4,15,4,20.16
2015/1/4,15,5,19.56
2015/1/4,15,6,20.16
2015/1/4,15,7,19.7
2015/1/4,15,8,19.73
2015/1/4,15,9,20.16
2015/1/4,15,10,19.7
2015/1/4,15,11,19.7
2015/1/4,15,12,18.86
2015/1/4,16,1,14.36
2015/1/4,16,2,14.36
2015/1/4,16,3,14.35
2015/1/4,16,4,14.36
2015/1/4,16,5,14.36
2015/1/4,16,6,14.37
2015/1/4,16,7,14.38
2015/1/4,16,8,14.38
2015/1/4,16,9,19.7
2015/1/4,16,10,19.8
2015/1/4,16,11,19.8
2015/1/4,16,12,21.17
2015/1/4,17,1,12.62
2015/1/4,17,2,13.63
2015/1/4,17,3,14.22
2015/1/4,17,4,14.3
2015/1/4,17,5,14.31
2015/1/4,17,6,14.36
2015/1/4,17,7,15.88
